"","count","basis","prediction","word","rowCount","freq","cumFreq"
"these+two+joints+feel",1,"these+two+joints","feel","these+two+joints+feel",219,0.000945179584120983,0.206994328922496
"two+joints+feel+like",1,"two+joints+feel","like","two+joints+feel+like",220,0.000945179584120983,0.207939508506617
"joints+feel+like+twins",1,"joints+feel+like","twins","joints+feel+like+twins",221,0.000945179584120983,0.208884688090738
"feel+like+twins+separated",1,"feel+like+twins","separated","feel+like+twins+separated",222,0.000945179584120983,0.209829867674859
"like+twins+separated+by",1,"like+twins+separated","by","like+twins+separated+by",223,0.000945179584120983,0.21077504725898
"twins+separated+by+nothing",1,"twins+separated+by","nothing","twins+separated+by+nothing",224,0.000945179584120983,0.211720226843101
"separated+by+nothing+more",1,"separated+by+nothing","more","separated+by+nothing+more",225,0.000945179584120983,0.212665406427222
"by+nothing+more+than",1,"by+nothing+more","than","by+nothing+more+than",226,0.000945179584120983,0.213610586011343
"nothing+more+than+distance",1,"nothing+more+than","distance","nothing+more+than+distance",227,0.000945179584120983,0.214555765595464
"more+than+distance+they",1,"more+than+distance","they","more+than+distance+they",228,0.000945179584120983,0.215500945179585
"than+distance+they+share",1,"than+distance+they","share","than+distance+they+share",229,0.000945179584120983,0.216446124763706
"distance+they+share+a",1,"distance+they+share","a","distance+they+share+a",230,0.000945179584120983,0.217391304347827
"they+share+a+complete",1,"they+share+a","complete","they+share+a+complete",231,0.000945179584120983,0.218336483931948
"share+a+complete+lack",1,"share+a+complete","lack","share+a+complete+lack",232,0.000945179584120983,0.219281663516069
"a+complete+lack+of",1,"a+complete+lack","of","a+complete+lack+of",233,0.000945179584120983,0.22022684310019
"complete+lack+of+pretense",1,"complete+lack+of","pretense","complete+lack+of+pretense",234,0.000945179584120983,0.221172022684311
"lack+of+pretense+that",1,"lack+of+pretense","that","lack+of+pretense+that",235,0.000945179584120983,0.222117202268432
"of+pretense+that+cant",1,"of+pretense+that","cant","of+pretense+that+cant",236,0.000945179584120983,0.223062381852553
"pretense+that+cant+be",1,"pretense+that+cant","be","pretense+that+cant+be",237,0.000945179584120983,0.224007561436674
"that+cant+be+imitated",1,"that+cant+be","imitated","that+cant+be+imitated",238,0.000945179584120983,0.224952741020795
"cant+be+imitated+or",1,"cant+be+imitated","or","cant+be+imitated+or",239,0.000945179584120983,0.225897920604916
"be+imitated+or+approximated",1,"be+imitated+or","approximated","be+imitated+or+approximated",240,0.000945179584120983,0.226843100189037
"imitated+or+approximated+their",1,"imitated+or+approximated","their","imitated+or+approximated+their",241,0.000945179584120983,0.227788279773158
"or+approximated+their+very",1,"or+approximated+their","very","or+approximated+their+very",242,0.000945179584120983,0.228733459357279
"approximated+their+very+ordinariness",1,"approximated+their+very","ordinariness","approximated+their+very+ordinariness",243,0.000945179584120983,0.2296786389414
"their+very+ordinariness+makes",1,"their+very+ordinariness","makes","their+very+ordinariness+makes",244,0.000945179584120983,0.230623818525521
