"","count"
"fact",69
"lakers",16
"points",121
"pau",1
"gasol",2
"effective",22
"meaning",22
"lakers'",1
"big",194
"men",64
"even",304
"workforce",8
"shrinking",4
"company",206
"remains",36
"committed",24
"colorado",29
"wow",5
"children's",15
"museum",27
"youngstown",2
"kept",40
"pitching",15
"onerun",2
"never",161
"looked",43
"scoreboard",2
"prepaidtuition",1
"stopped",40
"accepting",12
"customers",63
"illinois",48
"assistance",11
"commission",46
"begun",9
"adding",28
"she's",44
"spry",1
"seems",57
"synonymous",2
"senior",82
"citizen",11
"refuses",3
"fade",3
"nonexistence",1
"word",42
"undaunted",1
"always",122
"teams",82
"gonna",8
"fired",22
"challenge",43
"dick",4
"beat",32
"finding",23
"way",270
"captain",15
"shane",5
"doan",1
"only",367
"halfway",7
"we've",68
"win",134
"regroup",1
"usled",1
"coalition",10
"routinely",6
"reports",43
"each",192
"american",140
"foreign",24
"soldier",10
"afghan",13
"uniform",8
"military",47
"underreporting",1
"overall",51
"attacks",27
"associated",29
"press",54
"earlier",71
"international",55
"force",66
"isaf",1
"wounds",7
"misses",1
"allied",5
"target",24
"doesn't",103
"wounding",1
"troops",18
"attacked",11
"alongside",5
"means",61
"advancing",3
"past",131
"chicago",50
"secondround",4
"opponent",12
"pulling",5
"upset",16
"they're",77
"supposed",23
"checked",9
"father",47
"teenage",10
"girl",43
"involved",35
"incident",31
"edwardses",1
"speaking",19
"privately",9
"say",224
"torn",5
"whom",38
"carolina",26
"senator",7
"concerned",29
"obama",120
"ready",50
"presidency",5
"plan",122
"inferior",2
"edwards",14
"highly",20
"critical",19
"clinton",19
"ties",9
"special",89
"interests",9
"character",32
"during",245
"san",115
"diego",26
"crawford",5
"amberg",1
"sd",4
"acosta",3
"mills",12
"hr",2
"bon",1
"jovi",1
"middle",72
"stadium",49
"tour",43
"latest",41
"album",24
"circle",11
"tonights",1
"held",76
"meadowlands",3
"accustomed",6
"playing",94
"import",3
"cups",13
"chicken",36
"fish",33
"stock",43
"kirk",4
"nieuwenhuis",2
"joked",4
"keepsake",2
"commemorate",4
"majorleague",5
"bit",60
"dusty",5
"trial",44
"district",156
"court",176
"gabor",2
"served",55
"dimora's",5
"driver",33
"commissioner's",1
"closest",9
"friends",71
"gabor's",1
"lawyer",21
"return",59
"today",153
"closing",24
"arguments",13
"jurors",10
"deliberating",2
"afternoon",41
"while",284
"wines",21
"napa",6
"valley",51
"selections",5
"list",76
"nicely",5
"night",170
"offered",39
"glass",21
"plus",47
"dessert",16
"offerings",2
"selection",25
"half",89
"bottles",14
"i've",95
"criticized",15
"little",185
"much",259
"guys",54
"stretch",21
"fresh",45
"possible",72
"dk",2
"therefore",8
"privileged",1
"board",127
"expressed",23
"concerns",41
"reducing",6
"how",349
"per",74
"general",89
"fund",56
"budget",86
"cut",94
"thin",13
"soup",12
"title",36
"funding",38
"scarlett",2
"johansson",2
"filmed",6
"scenes",11
"warehouse",4
"ashland",1
"road",155
"longfellow",1
"cedar",4
"norfolk",3
"southern",30
"railroad",4
"tracks",10
"site",57
"topsecret",1
"filming",3
"doubled",9
"russian",10
"facility",25
"declaration",8
"permit",13
"emergency",34
"management",53
"agency",61
"supplement",1
"relief",16
"efforts",48
"newark",34
"woman",67
"accused",28
"animal",12
"cruelty",1
"pit",5
"bull",5
"abuse",25
"case",141
"tied",23
"railing",2
"according",191
"essex",12
"county",294
"prosecutors",34
"set",155
"designer",11
"bjorn",1
"g",51
"amelan",1
"supplied",5
"transparent",5
"roomdividers",1
"sofa",4
"wryly",1
"jones",40
"memories",11
"resemble",3
"mental",20
"brilliant",9
"eclectic",4
"score",27
"ted",13
"coffey",3
"depends",5
"upon",14
"tension",4
"immediacy",2
"lived",24
"experiencedancing",1
"biting",3
"juicy",4
"appleand",1
"subsequent",3
"need",163
"measure",38
"rearrange",2
"transmit",3
"impressions",5
"vanish",2
"forever",13
"scholar",7
"wrote",69
"coleridge's",1
"plagiarism",1
"aberdeen",4
"picks",18
"doled",1
"basis",17
"team's",20
"net",27
"unrestricted",3
"agents",20
"vs",24
"signed",39
"salary",23
"postseason",12
"honors",9
"factor",16
"browns",28
"abe",3
"elam",1
"matt",30
"roth",3
"chansi",1
"stuckey",4
"jason",30
"trusnik",1
"lawrence",11
"vickers",1
"floyd",3
"womack",3
"eric",23
"wright",12
"brandon",17
"jackson",30
"dimitri",1
"patterson",6
"usama",1
"young",106
"investment",37
"ford",21
"joint",9
"venture",11
"partner",34
"changan",1
"mazda",2
"automobile",3
"expand",19
"fords",1
"capacity",11
"chongqing",1
"vehicles",26
"bringing",23
"annually",9
"cejudo",1
"received",79
"standing",17
"ovation",3
"nearly",98
"attendance",8
"iowa",24
"thanked",6
"tossing",6
"shoes",10
"weber",3
"dr",61
"job",125
"find",132
"position",59
"happy",54
"sometimes",49
"doable",1
"you've",33
"horses",7
"outside",71
"thus",8
"antonio",10
"oklahoma",14
"posted",21
"west",93
"gregg",3
"popovich",1
"nothing",66
"defiantly",1
"rested",4
"stars",21
"rebuke",1
"sprint",10
"worked",69
"spurs",7
"city's",41
"players",111
"aren't",34
"tired",10
"minimal",4
"brown",56
"so",544
"nocall",1
"still",261
"grades",7
"williams",47
"glad",12
"getting",121
"scholarship",13
"anything",79
"gpa",3
"ncaa",34
"clearing",2
"thing",98
"send",25
"scores",17
"advisor",1
"usf",5
"track",47
"admission",20
"radio",24
"ourselves",13
"neighborhood",39
"considered",28
"side",94
"pair",29
"began",85
"writing",29
"become",84
"episode",11
"salemia",2
"february",40
"characters",10
"played",124
"candidate",31
"salem",8
"lloyd",3
"chapman",2
"elected",37
"bumbling",1
"interns",1
"tasked",1
"correcting",1
"salem's",1
"image",20
"problem",44
"sisters",11
"didnt",16
"buried",10
"mother",62
"died",61
"started",100
"searching",16
"internet",34
"moszek",1
"mike",49
"zanger",1
"learned",29
"ever",83
"knew",51
"months",118
"thanks",17
"dogged",2
"war",54
"ii",21
"buffs",4
"uses",18
"gene",6
"therapy",14
"experiments",4
"suggested",23
"leukemia",4
"viruses",2
"transfer",16
"genes",5
"cells",9
"risk",52
"allays",1
"concern",28
"enabling",2
"researchers",13
"beyond",38
"lifethreatening",3
"illnesses",1
"hiv",4
"bruce",23
"levine",7
"author",19
"researcher",6
"pennsylvania",17
"we're",128
"radar",6
"sim",1
"lot",187
"sleeper",1
"chip",8
"shoulder",19
"haven't",32
"proven",9
"yet",106
"overachieved",1
"gattone",1
"charged",54
"possession",27
"controlled",15
"dangerous",15
"substance",12
"paraphernalia",2
"karen",7
"neuman",5
"sensed",4
"moment",35
"hesitation",2
"saturday",99
"rockside",1
"interstate",11
"independence",12
"expect",48
"lane",15
"across",94
"street",122
"ed",12
"nance",1
"can't",85
"believe",88
"substation",1
"thursday's",10
"power",93
"outage",2
"almost",86
"neal",4
"read",47
"swapped",2
"goals",42
"staal",1
"knocked",4
"rebound",6
"penguins",2
"minnesota",39
"rutgers",20
"kyle",12
"flood",10
"design",28
"theme",13
"schiano",3
"uniforms",5
"look",140
"class",45
"college",121
"football",61
"sees",13
"spider",3
"venom",1
"hook",4
"excited",21
"science",36
